Origin/Destination,Munich,Stuttgart,Berlin,Frankfurt+am+Main,Hannover,Cologne,Potsdam,Bremen,Hamburg,Leipzig,Rostock,Saarbrucken,Halle+(Saale),Kiel,Erfurt,Mainz,Dusseldorf,Dortmund,Essen,Dresden,Nurnberg,Duisburg,Bochum,Wuppertal,Bielefeld,Bonn,Munster,Karlsruhe,Mannheim,Augsburg,Wiesbaden,Gelsenkirchen,Monchengladbach,Braunschweig,Chemnitz,Aachen,Magdeburg,Freiburg im Breisgau,Krefeld,Lubeck,Oberhausen,Kassel,Hagen,Hamm,Mulheim an der Ruhr,Ludwigshafen am Rhein,Oldenburg,Leverkusen,Osnabruck,Solingen,Heidelberg,Herne,Neuss,Darmstadt,Paderborn,Regensburg,Ingolstadt,Wurzburg,Furth,Wolfsburg,Offenbach am Main,Ulm,Heilbronn,Pforzheim,Gottingen,Bottrop,Trier,Recklinghausen,Reutlingen,Bremerhaven,Koblenz,Bergisch Gladbach,Jena,Remscheid,Erlangen,Moers,Siegen,Hildesheim,Salzgitter
Osnabruck,644802,526951,423073,328000,141962,207236,393029,120752,230868,400053,404060,461818,359470,315319,364509,356964,183237,120132,148817,503995,476315,159639,127560,154864,55513,228233,58220,459224,405559,614148,352619,131309,209927,204093,491059,266389,285240,591186,185507,290226,146938,178862,132458,102985,157863,407497,109197,182828,0,171013,410352,122256,188648,357047,94817,576378,569561,377610,469829,225759,334181,560631,473237,481014,229334,129582,390373,114996,555121,184039,305867,186971,406525,163129,459121,163829,209066,181862,216630
Solingen,598240,391968,543736,213939,262625,41927,513692,286103,396219,468234,569411,291082,426756,480670,389718,203085,36228,64559,42996,567012,429754,55015,53019,19425,164434,62924,119408,324242,270577,545895,188896,74772,68984,324756,526271,101426,405903,456203,57364,455577,58851,212915,47213,93295,45853,272515,274548,26414,172064,0,275261,58360,37263,223132,154051,529816,522999,324842,423267,346422,220896,476331,338255,346031,263387,66707,219637,67716,420138,349390,140558,31308,431734,12305,418427,71337,114905,302525,337293
Heidelberg,344060,121379,633332,93797,436716,256030,603289,528491,579777,478395,752968,161002,466128,675173,344381,96685,297785,306630,314821,527100,228488,316572,324818,298117,401009,242048,361796,53652,26403,275306,102444,336329,308881,422482,452090,317444,511056,185614,322090,639135,320408,280117,291706,335683,307410,26450,516936,281181,414452,279718,0,331653,301427,63789,354047,314560,296368,165269,233120,451267,99909,205741,67921,75441,318380,328264,207889,341010,149549,610304,173960,260562,386397,289179,246148,332894,218361,405565,405953
Herne,624134,444347,508567,238987,227457,94305,478524,237237,347353,438069,520544,348887,396592,431804,368397,255464,53932,24374,20705,536847,455648,44697,7719,41525,129266,115303,70865,376620,322955,593214,241275,14976,80621,289588,504951,153458,370735,508582,70417,406711,28314,182750,44293,58127,29752,324893,225681,69898,123198,57674,327640,0,59342,275510,123886,555710,548893,350736,449161,311254,245168,528709,390633,398409,233222,26491,277442,12189,472517,300524,192936,74040,410413,50198,444321,48739,120053,267356,302125
Neuss,613112,411534,562554,228811,281444,39278,532511,298467,408583,487053,581775,297974,445575,493034,404822,232165,11660,75917,40578,585831,444626,33772,56388,38244,183253,71037,132095,343808,281685,565461,203768,62333,29854,343575,541375,79411,424722,475770,23808,467941,46412,231734,66032,112114,33167,283088,286912,55455,184428,36659,290133,59240,0,238004,172870,544688,537871,339714,438139,365241,235769,495897,357821,365597,282206,54268,226530,79045,439704,361754,147346,47327,446838,47850,433299,38489,130009,321343,356112
Darmstadt,397590,174908,575169,35634,378553,198796,545126,470328,521614,420232,694805,172301,407965,617010,286218,39451,240551,248467,257587,490525,237158,259338,266654,240883,342846,184813,303633,107182,58529,328835,45209,279094,262857,364319,422771,271193,452892,239143,264856,580972,263173,221954,233542,277520,250175,60467,458773,223946,356289,222483,58227,267524,244192,0,295884,337221,330404,132247,230672,393104,41746,259271,126207,128971,260217,271029,186444,276881,203078,552140,132080,203328,328234,231944,225832,275660,160197,347401,347790
Paderborn,550555,429744,426225,267576,145115,189533,396182,261743,285621,339934,458812,445598,298456,381017,270262,296540,171716,102087,136475,438711,382068,158044,122179,137161,46734,210530,140296,398800,345135,519901,292195,134942,196391,207245,406816,248686,288392,530762,171890,344979,148280,84615,114755,103796,145522,347073,231416,165125,94883,153310,349928,122799,172751,296623,0,482131,475314,283363,375582,228911,273757,466384,389717,420589,135087,148282,372670,133032,472497,316148,288164,169268,312278,145425,364874,177112,191363,185014,219782
Regensburg,126588,296832,498328,323346,573290,504882,468285,681233,705111,343390,692308,457601,352857,800507,327212,358021,546637,535151,567634,346501,111735,565424,553338,546969,527687,490899,590316,337864,328068,147857,354484,568981,568943,522410,271490,577279,435771,469826,570942,741729,569259,406795,520226,544237,556261,330006,723985,530032,575836,528569,313069,554208,550279,327465,480725,0,98210,207843,116367,514117,315395,219820,256579,327039,445058,577116,504488,563564,318741,735638,438166,509414,285114,538031,120603,581746,446881,532243,510587
Ingolstadt,81386,236579,509988,317723,557771,499259,479945,692893,716771,355050,703968,440809,364517,812167,321633,352398,541014,529528,562011,386770,94675,559801,547715,541346,522064,485276,584693,321072,311276,83984,348861,563358,563320,534070,311760,571656,447431,427374,565319,753389,563636,401172,514603,538614,550638,313214,735644,524409,570213,522946,296277,548584,544655,321841,475102,98216,0,202219,99307,525777,309772,155947,239787,273820,439435,571492,487696,557941,254867,747297,432543,503791,296774,532407,114979,576123,441258,526620,522246
Wurzburg,277708,146830,492254,118680,366177,300215,462211,485360,509238,337316,686234,294840,314293,604634,192744,153355,341970,330484,362967,369036,109222,360757,348671,342302,330470,286233,385650,188088,178292,245045,149818,364314,364276,351943,294026,372612,363693,320050,366275,568596,364593,209578,315559,347020,351595,180230,528112,325366,378619,323902,163293,349541,345612,122798,283508,209284,202467,0,102735,380728,110729,191528,106803,177037,247841,372449,300348,358897,189584,539765,233500,304747,234760,333364,97895,377079,242214,335026,335414
Furth,174400,215117,454304,218350,458398,399886,424261,577581,601459,299366,648284,375886,308833,696855,221969,253025,441641,430155,462638,331086,9539,460428,448342,441973,422691,385903,485320,256149,246353,154126,249488,463985,463947,444164,256076,472283,391747,388111,465946,660817,464263,301799,415230,439241,451265,248291,620333,425036,470840,423573,231354,449211,445283,222469,375729,117646,99159,102847,0,470093,210399,200457,174864,245325,340062,472119,422773,458568,257871,631986,333170,404418,241090,433035,15316,476750,341885,427247,427635
Wolfsburg,600831,526778,228400,364610,88798,381911,198357,196742,220620,205380,249632,542632,164798,316016,248345,393574,364095,294808,333726,309322,455994,351193,319430,329539,191411,402909,274380,495834,442169,603428,389229,319619,401481,37919,296386,441064,90568,627796,377061,279978,332957,182343,307133,265929,342772,444107,239493,357504,221143,345688,446962,310774,365130,393657,230381,514245,525590,380397,470021,0,370791,563418,486751,517623,137674,326553,538034,311304,569531,251146,419430,361646,263550,337804,458797,355383,383742,82374,49068
Offenbach+am+Main,384877,212627,551605,10167,354989,196575,521562,446764,498050,396667,671241,191200,384401,593446,262654,49714,238330,224903,255366,466961,216391,257117,243090,238662,319282,182592,280069,144900,91235,353957,46177,258733,260636,340755,399207,268972,429328,276862,262635,557408,260952,198390,209978,253956,247954,93173,435209,221725,332725,220262,96028,243960,241972,33505,272320,316453,309637,111479,209904,369540,0,300441,158913,166689,236653,268809,196708,253316,240797,528576,129859,201107,304670,229724,205064,273439,136633,323837,324226
Ulm,150536,94523,617063,290427,548389,452730,587020,667572,691451,462125,811043,302437,471592,786846,374957,293385,494486,503260,511521,493845,195233,513272,521448,494817,512682,438748,558426,158945,219918,81781,299144,533029,497052,534156,418835,505615,554506,285317,518791,750809,517108,391791,488336,529232,504110,221856,710324,477881,560831,476418,204657,528353,498127,259764,465720,218299,155220,191753,199865,562941,296539,0,152029,131764,430054,524964,368977,537710,112811,721977,362131,457263,403849,485879,212893,529594,414991,517238,517627
Heilbronn,290555,53290,593638,152036,474362,314339,563595,593545,617423,438700,787618,211060,448167,712819,300929,154994,356094,364869,373130,470420,171808,374881,383056,356426,438655,300356,420034,91323,81527,221801,160753,394638,358661,460128,395410,367224,471878,223284,380399,676781,378717,317763,349944,393922,365719,83465,575174,339490,472691,338026,66528,389962,359736,125281,391693,257880,239688,108589,176440,488913,158148,152236,0,83497,356026,386573,257947,399319,96043,647950,223740,318871,342945,347488,189468,391203,276599,443211,443599
Pforzheim,267451,44769,659539,160454,503373,322757,629496,595148,646434,504602,819625,172464,488175,741830,366627,163412,364513,373287,381548,536322,237709,383299,391475,364844,467666,308775,428453,28972,89945,198696,169171,403056,367079,489139,461311,375642,577712,155344,388817,705792,387135,346774,358362,402340,374137,91883,583593,347908,481109,346445,74684,398380,368154,129791,420704,323782,272135,174287,242342,517924,166566,129132,80920,0,385037,394991,239004,407737,72939,676961,232158,327290,408643,355906,255370,399621,285018,472221,472610
Gottingen,514775,393964,335033,231797,122861,298109,304990,242044,265922,228779,439114,409818,187301,361318,188044,260760,280293,210663,245051,327556,346289,266620,230755,245737,180211,319106,248872,363020,309355,484121,256415,243518,304968,108628,291004,357262,197201,494982,280466,325280,256856,49530,223331,196761,254098,311294,284796,273701,228360,261886,314149,231375,281327,260843,133249,446351,439535,247583,339802,137413,237977,430605,353938,384810,0,256858,405221,241609,436718,296449,286617,277844,204119,254002,329095,285688,269211,91710,92098
Bottrop,647412,441140,524039,263111,242929,91099,493996,244393,354509,462854,527701,340254,421376,438960,393182,252257,48940,45872,12330,561632,478926,25643,29217,63023,144737,112096,78021,373414,319749,595067,238068,13316,75931,305059,529736,141460,386207,505375,51363,413867,9260,207535,70619,73598,22401,321687,232837,91395,130354,67928,324433,23912,54652,272304,148671,578988,572171,374014,472439,326725,270068,525503,387427,395203,258007,0,268809,24600,469310,307680,189730,80480,435198,71696,467599,29685,146380,282828,317596
Trier,507631,284949,722448,188143,461477,194746,692405,484954,595071,567511,768262,99200,555244,679521,433497,148447,211893,263411,241230,637804,418607,242980,252351,224526,363285,164871,318259,211753,181905,438876,153012,262737,207904,511598,570050,194664,600172,307662,228316,654429,246816,369233,246064,292146,233818,183308,473399,207218,370915,206126,202947,257691,207653,186712,352902,504680,486488,300817,423240,540383,196871,369312,258041,239012,407496,254672,0,267048,313119,548241,130368,201928,475513,215217,394402,242997,212733,494681,495069
Recklinghausen,634022,454235,510430,248876,229319,104193,480386,228468,338584,449245,511775,358775,407767,423035,379573,265352,73284,34262,38863,548022,465536,49685,17607,51413,131128,125191,62096,386508,332843,603102,251163,21356,99973,291450,516127,163346,372597,518470,75553,397942,36984,193926,54181,59989,47910,334781,216912,79786,114429,67563,337528,12302,78694,285398,135062,565598,558782,360624,459049,313116,255056,538597,400521,408297,244398,25045,287330,0,482405,291754,202824,83928,421589,60086,454209,53876,129941,269219,303987
Reutlingen,250761,38840,675045,234824,555566,397127,645002,674749,698627,520108,869026,246834,503681,794023,382133,237782,438882,447657,455918,551828,253215,457669,465844,439214,519859,383145,502823,103342,164315,182007,243541,477426,441449,541332,476817,450012,553082,229714,463187,757985,461505,398967,432732,476710,448507,166253,657963,422278,555479,420815,149054,472750,442524,204161,472896,318524,255445,189793,257848,570117,240936,112442,96426,76160,437230,469361,313374,482107,0,729153,306528,401659,424149,430276,270876,473991,359387,524414,524803
Bremerhaven,821429,685048,460250,522880,189540,383424,418955,64142,181080,425978,354271,638006,385396,265531,421712,551844,359425,296320,325005,529920,637372,335827,303749,331052,278292,404421,234408,654104,600439,775205,547499,307497,386115,230018,516984,442577,311166,786066,361695,240438,323126,340613,308646,279173,334051,602377,69893,359016,184272,347201,605232,298444,364836,551927,317262,734843,746188,538667,630886,251685,529061,721688,645021,675893,295944,305771,566561,291184,727801,0,482055,363159,484148,339317,620178,340017,385254,207461,242229
Koblenz,509339,279110,604473,125038,393912,114503,574430,417389,527506,449536,700697,199537,437269,611957,315522,99741,151472,195846,173294,519829,340852,175045,184786,156590,295720,83133,250694,211383,149260,433037,99995,194802,147484,393623,452075,156046,482197,343345,167896,586864,178880,251258,178499,224581,165883,150664,405834,139653,303350,138190,186360,190126,147233,134230,285338,440915,434098,235941,334366,422408,131995,363473,225396,233173,289521,186737,128092,199483,307280,480676,0,119035,357538,147652,329526,182577,94758,376705,377094
Bergisch+Gladbach,580119,373847,558160,195818,277050,18099,528117,300528,410644,482659,583835,272961,441181,495095,356427,184964,48907,78984,65942,560734,411633,67693,67924,49238,178859,44803,133832,306121,252456,527774,170775,85407,78197,339180,492981,96203,420328,438082,73212,470002,71529,227340,61638,107720,58531,254394,288972,22142,186489,30839,257140,73264,52548,205011,168476,511695,504878,306721,405146,360847,202775,458210,320134,327910,277812,79385,201516,82621,402017,363814,122437,0,398443,30790,400306,84015,81615,316949,351717
Jena,370607,382028,260022,298862,334984,417375,229979,442927,466805,105084,454002,476884,114551,562201,54271,327826,457022,387393,421781,175377,225771,443350,407485,422467,356941,406415,425602,430086,376421,373205,323481,420248,487143,284104,107624,495479,197465,562048,457196,503423,433586,236049,400061,373491,430828,378359,485679,450431,405090,438616,381214,408105,458057,327909,309979,284021,295367,235647,239798,275811,305043,403106,342001,412236,202982,433588,472286,418338,424782,497332,353682,406853,0,430731,228574,462418,336277,265731,272281
Remscheid,607798,401526,535253,223497,254143,51485,505210,277620,387737,459752,560928,306067,418274,472187,390080,212644,46944,56077,45829,558529,439312,66018,45017,22257,155951,72482,110925,333800,280135,555454,198455,62500,79699,316273,526633,110638,397421,465762,68366,447095,75839,204433,38730,84812,50042,282073,266065,27077,163581,12248,284820,50357,47978,232690,145568,539374,532558,334401,432826,337939,230455,485889,347813,355589,254904,74015,234622,59714,429696,340907,150116,31220,432096,0,427986,82340,124463,294042,328810
Erlangen,188431,228509,442150,212577,447709,394113,412107,566892,590770,287213,636131,388738,296680,686166,209074,247252,435868,424382,456865,318933,22160,454654,442569,436200,412002,380130,480663,269540,259745,191028,243715,458212,458173,433476,243922,466510,379594,401502,460173,650128,458490,291110,409457,428552,445492,261683,609644,419263,460151,417800,244745,443438,439509,216695,365040,120007,113190,97073,15674,457940,204626,213849,188256,258716,329374,466346,394246,452795,271262,621297,327397,398645,228937,427261,0,470977,336112,416558,416946
Moers,650430,444158,553221,266129,272111,74506,523178,273204,383321,492037,556512,333203,450559,467772,422365,267394,44320,69768,37673,590814,481943,12837,53444,72796,173920,106265,106833,376431,316913,598085,241086,37212,48572,334241,558918,113124,415389,508393,22210,442679,21291,236718,91979,102781,35381,318316,261649,95966,159165,70945,327451,47808,38812,275321,177853,582006,575189,377032,475457,355908,273086,528520,390444,398221,287189,29147,261758,53782,472328,336491,182574,83497,464381,82402,470617,0,165238,312010,346778
Siegen,516206,330010,580266,131060,299156,93426,550223,322634,432750,420769,605941,309082,408502,517201,286755,160024,133440,100773,133256,491062,347720,152227,118960,124767,200965,120130,155938,262284,208619,485287,155679,134603,163194,361286,423309,171530,442434,394246,151738,492108,147941,222491,85848,129826,142302,210557,311078,116836,208595,115372,213412,119829,131075,160107,190582,447783,440966,242809,341234,382953,137241,414373,276297,284073,260755,146118,223087,129186,358180,385920,103780,82904,328771,124834,336394,166419,0,339055,348327
Hildesheim,601129,480318,280434,318150,34903,339589,250391,154086,177964,230750,351156,496172,190168,273360,216982,347114,321772,252485,291403,334692,432642,308870,277107,287216,149088,360586,232057,449374,395709,570475,342769,277296,359158,54029,319942,398742,142602,581336,334738,237322,290635,135883,264810,223607,300450,397647,196838,315181,178820,303366,400502,268452,322807,347197,188059,532705,525888,333937,426156,82813,324331,516958,440291,471163,91214,284230,491574,268981,523071,208491,372970,319323,266200,295481,415448,313061,341419,0,37499
Salzgitter,591201,482296,251244,320128,69044,373729,221201,188227,212105,195750,385296,498150,155168,307501,218961,349092,355913,286626,325544,299692,434620,343011,311248,321357,183229,394727,266198,451352,397687,572453,344747,311437,393299,24839,286756,432882,113412,583314,368879,271463,324775,137862,298951,257747,334590,399625,230979,349322,212961,337506,402480,302592,356948,349175,222199,504615,515960,335915,428134,53624,326309,518936,442269,473141,93192,318371,493552,303122,525049,242632,374948,353464,253920,329622,417426,347201,357543,37893,0
