Origin/Destination,Munich,Stuttgart,Berlin,Frankfurt+am+Main,Hannover,Cologne,Potsdam,Bremen,Hamburg,Leipzig,Rostock,Saarbrucken,Halle+(Saale),Kiel,Erfurt,Mainz,Dusseldorf,Dortmund,Essen,Dresden,Nurnberg,Duisburg,Bochum,Wuppertal,Bielefeld,Bonn,Munster,Karlsruhe,Mannheim,Augsburg,Wiesbaden,Gelsenkirchen,Monchengladbach,Braunschweig,Chemnitz,Aachen,Magdeburg,Freiburg im Breisgau,Krefeld,Lubeck,Oberhausen,Kassel,Hagen,Hamm,Mulheim an der Ruhr,Ludwigshafen am Rhein,Oldenburg,Leverkusen,Osnabruck,Solingen,Heidelberg,Herne,Neuss,Darmstadt,Paderborn,Regensburg,Ingolstadt,Wurzburg,Furth,Wolfsburg,Offenbach am Main,Ulm,Heilbronn,Pforzheim,Gottingen,Bottrop,Trier,Recklinghausen,Reutlingen,Bremerhaven,Koblenz,Bergisch Gladbach,Jena,Remscheid,Erlangen,Moers,Siegen,Hildesheim,Salzgitter
Mainz,427808,209141,575806,44529,379189,179617,545762,470964,522250,420868,695441,147465,408601,617646,286854,0,221373,249104,238408,491161,259321,240159,249900,221704,343482,168295,304269,141414,83171,363068,16732,259916,232645,364956,423408,241208,453529,273376,253057,581608,243995,222590,234179,278156,230997,84574,459409,204768,356925,203305,92434,255240,232394,40304,296520,359384,352567,154410,252835,393741,50464,293504,155427,163204,260854,251851,148170,264597,237311,552777,97724,184149,328870,212766,247995,267739,160834,348038,348426
Dusseldorf,612206,405934,558617,227905,277507,43988,528574,292477,402593,483116,575784,302685,441638,487044,403684,217051,0,70767,35427,581894,443720,27757,51237,34307,179316,75747,126105,338208,286395,559861,202862,56109,34357,339638,540237,88342,420785,470169,24607,461951,40188,227797,62095,108177,28017,287798,280921,52799,178438,32722,289227,54089,10313,237098,168933,543782,536965,338808,437233,361304,234862,490297,352221,359997,278269,48044,231240,73054,434104,355763,154524,45274,445700,43913,432393,39289,128871,317406,352175
Dortmund,605828,419631,492745,220681,211634,100347,462702,235447,352141,417882,525332,354928,376404,430014,348210,249645,70240,0,37013,516659,437341,58582,22718,47974,113443,121344,68752,351905,298240,574908,245300,35480,96930,273765,484763,159499,354912,483867,72428,411499,48819,162563,25986,42304,46060,300178,223892,75939,121408,64124,303033,23337,75651,249728,103699,537404,530587,332430,430855,295431,226862,503994,365918,373694,213034,46995,283484,32694,447801,298734,198978,80081,390226,56239,426015,69243,101747,251534,286302
Essen,634155,427883,531967,249853,250856,77841,501924,252105,362221,451533,535413,326996,410055,446672,381861,239000,35791,37837,0,550310,465668,23722,18308,36473,152665,98839,85733,360156,306491,581810,224811,14441,62480,312987,518414,128010,394134,492118,37979,421579,14277,196214,57208,81526,11200,308429,240550,83659,138066,42900,311176,21160,41201,259046,137349,565731,558914,360757,459182,334653,256811,512245,374169,381945,246685,13128,255551,32307,456053,315392,176472,67222,423877,63960,454342,37327,132968,290756,325524
Dresden,459551,506710,193290,459513,365013,578025,204095,472956,496834,120478,422446,637535,144581,544231,214922,488477,583696,514066,548454,0,314714,570023,534159,549140,467626,567066,552275,547741,537072,462148,484132,546921,608371,314133,77875,656130,227494,679703,583869,471867,560260,352933,526734,500164,557501,539010,515708,577104,497357,565289,522946,534778,584730,488560,436652,344452,384310,366766,328741,305840,465694,492050,466457,536917,325809,560261,632937,545012,549463,527361,514333,567504,172824,557405,317517,589091,496928,337216,302310
Nurnberg,169666,210384,448671,224479,464526,406014,418627,583709,607587,293733,642651,371153,303200,702983,228097,259154,447769,436283,468766,325453,0,466556,454470,448101,428819,392031,491448,251416,241620,149393,255616,470113,470075,472753,250442,478411,386114,383377,472074,666945,470391,307927,421358,445369,457394,243558,626461,431165,476968,429701,226621,455340,451411,228597,381857,112913,94426,108975,9373,464460,216527,195724,170131,240591,346191,478248,418040,464696,253138,638114,339298,410546,235457,439163,21444,482878,348013,433375,433763
Duisburg,634307,428035,548374,250006,267264,77993,518331,268357,378473,472317,551665,327148,430839,462924,402645,239152,28810,58622,23321,571094,465820,0,39092,56673,169072,98991,101985,360308,306643,581962,224963,32223,55495,329394,539199,121024,410541,492270,24906,437831,16302,216998,77992,97933,12169,308581,256802,75772,154318,54822,311328,42819,34821,259198,158134,565883,559066,360909,459334,351060,256963,512397,374321,382097,267470,24158,255704,48934,456205,331644,176624,67374,444661,66279,454494,12869,150972,307163,341931
Bochum,621418,435222,516336,236271,235225,92436,486293,242018,352135,435902,525326,347018,394424,436586,366230,253595,50563,22206,17337,534679,452931,38905,0,39656,137034,113433,75647,367495,313830,590498,239406,15473,77253,297356,502783,142782,378503,499457,52751,411493,33096,180583,41577,65895,26383,315768,230463,68028,127979,55805,318624,7614,55974,265318,121718,552994,546177,348020,446445,319022,242452,519585,381508,389285,231054,31273,275573,16971,463392,305305,191067,72171,408246,48329,441605,52510,117337,275125,309893
Wuppertal,615024,408753,529647,230723,248537,58711,499604,272014,382131,454145,555322,307866,412668,466581,384474,219870,35450,50470,36020,552923,446538,54525,38931,0,150345,79709,105319,341026,287361,562680,205681,56414,68205,310667,521027,118211,391815,472988,56873,441489,58360,198827,33124,79206,45362,289299,260459,39592,157975,19630,292046,44271,36485,239916,139962,546601,539784,341627,440052,332333,237681,493115,355039,362815,249298,66216,236421,53628,436923,335301,157342,48092,426490,12522,435212,70847,126916,288436,323204
Bielefeld,598204,477393,388893,315225,107783,199956,358850,182588,248289,365873,421480,454538,325291,343685,317911,344189,182140,112853,151771,469815,429717,169238,137475,147584,0,220954,132443,446449,392784,567550,339844,137664,219526,169913,454465,259109,251061,578411,195106,307647,151003,132264,125178,83974,160817,394722,171032,175549,53690,163733,397577,128819,183175,344272,48219,529780,522963,331012,423231,191579,321406,514033,437366,468238,182736,144598,383094,129349,520146,278816,298588,179691,359927,155849,412523,173428,201787,147682,182450
